predictor,n,pearson_r,spearman_r,r2,rmse
prior goals (G_N),2504,0.6864614310242174,0.6914967752245983,0.4712292962838165,6.59877768241337
our xG (xG_N),2504,0.7084054472724858,0.7270517948163646,0.5018382777253303,6.404938755899116
MoneyPuck xG (xG_N),2504,0.6964780415348815,0.7159509386607312,0.4850816623402642,6.511768964764837
