model,log_loss,brier,auc
baseline (mean rate),0.24096192004232614,0.0609228087281313,0.5
MoneyPuck xGoal,0.20099859155962102,0.053645352978779384,0.793777629733593
our LightGBM (OOF),0.20998149241415634,0.05629361401879557,0.7710458030272558
