model,n,log_loss,brier,auc,analysis
baseline (mean rate),115446,0.2578039868921795,0.0664887757806501,0.5,A: identical-data nested
core (geometry+type),115446,0.23668319255569517,0.06338257303378886,0.7290563707198863,A: identical-data nested
+ last-1 event (MoneyPuck-style),115446,0.22680137360008723,0.06140326371334986,0.7630612328483783,A: identical-data nested
+ last-4 chain (possession),115446,0.22653694507081015,0.06150716533450568,0.7646728326906549,A: identical-data nested
MoneyPuck xGoal alone,114662,0.2151469308568664,0.05839705676600894,0.7903635971992764,B: additive on MoneyPuck xGoal
+ last-1 over xGoal,114662,0.2054892008949031,0.055814674773222876,0.8131207847815315,B: additive on MoneyPuck xGoal
+ last-4 over xGoal,114662,0.2054225808111122,0.055844145179868514,0.8130231933967489,B: additive on MoneyPuck xGoal
