goalieId,name,shots,goals,xg,v,info,goals_per100_vs_base
8478048.0,Igor Shesterkin,7819,428,522.6355681950675,-0.18210633988039018,403.01421360201306,-1.0157422818033752
8478009.0,Ilya Sorokin,6272,343,412.963105962141,-0.15528927353505848,321.9173041940761,-0.8762304279058254
8477424.0,Juuse Saros,12601,742,846.9781464189751,-0.14988687144668134,668.0245725006924,-0.8477203576299969
8476883.0,Andrei Vasilevskiy,19990,1192,1287.225899768836,-0.10601318794095496,1048.687619929177,-0.6110583159871272
8476945.0,Connor Hellebuyck,19385,1183,1265.3642946808118,-0.09898791264626729,1032.595986311471,-0.5723024452647045
8479406.0,Filip Gustavsson,3011,172,199.78656185232236,-0.0950812039169619,163.98098394414785,-0.5506463732078103
8480280.0,Jeremy Swayman,3566,204,231.75763866986736,-0.08827444875391148,190.61233146189824,-0.5127357604639886
8477293.0,Antti Raanta,8180,474,512.1245551064565,-0.08700001210471242,424.4011763720608,-0.5056123982033333
8475683.0,Sergei Bobrovsky,17508,1129,1185.4537343899929,-0.08281931607952482,974.4561241868541,-0.4821885006467762
8479979.0,Jake Oettinger,6591,385,411.0521702848977,-0.08020001957069911,347.1919668501206,-0.46746891867193374
8475311.0,Darcy Kuemper,12232,735,772.7599101071828,-0.07687100223859407,643.9812832259146,-0.448711893530656
8475883.0,Frederik Andersen,16537,1008,1048.015956859683,-0.07537159008332275,875.7939590874792,-0.44024563592348215
8477967.0,Thatcher Demko,7299,472,495.14689993581055,-0.06516962298514563,416.2755931835763,-0.3823440595811578
8470594.0,Marc-Andre Fleury,16055,1014,1039.4722109181057,-0.06415129162673859,876.1533825039907,-0.3765359380626214
8479973.0,Stuart Skinner,3028,207,222.2206609876534,-0.06295894902658847,186.24425756751558,-0.3697287248395159
8469608.0,Mike Smith,11668,735,760.7899434798277,-0.05918068200054677,636.7920935178561,-0.34811104523153125
8476999.0,Linus Ullmark,7844,475,491.9654462396061,-0.05473901882875983,418.9343403569555,-0.3226058223463557
8479193.0,Casey DeSmith,5219,342,356.16860135668617,-0.0539219333440118,298.7538647332859,-0.3179030621565507
8478971.0,Connor Ingram,1619,113,123.14080516697204,-0.053552067145177615,104.71961111803098,-0.3157731774119953
8479394.0,Carter Hart,8700,589,601.4384063881519,-0.05119250130415466,506.2775572905504,-0.3021692738719599
8479361.0,Joseph Woll,603,34,44.07439090748324,-0.05058132194989206,36.42929448426541,-0.29864097115919336
8478499.0,Adin Hill,4509,277,288.5749830451347,-0.04732988780531868,243.20012835685554,-0.27983881224582163
8480382.0,Alexandar Georgiev,8132,520,531.4900967825041,-0.04542804012015151,451.61448218401966,-0.2688160778720597
8476434.0,John Gibson,16874,1075,1085.5556937062663,-0.04408794351264109,929.9453305885849,-0.261038101247138
8474593.0,Jacob Markstrom,15146,985,996.3260608897529,-0.042602959508934404,846.5338391374804,-0.25240851830469824
8470645.0,Corey Crawford,7270,456,468.38296949763975,-0.04223289325729625,394.756709365329,-0.25025623034267697
8471750.0,Ben Bishop,7717,445,453.2949836642442,-0.04186773744622219,391.5433433951309,-0.2481318172870714
8476341.0,Anton Forsberg,4784,321,330.92205448956327,-0.0412681744836514,280.60036667057267,-0.24464219004899437
8475215.0,Robin Lehner,11471,709,717.6798019402961,-0.0405131156461789,608.8389670885276,-0.24024492470320694
8471695.0,Tuukka Rask,11161,657,664.3339844677907,-0.03992332522868734,568.3090962141177,-0.23680811615001685
8480925.0,Pavel Francouz,3280,204,210.7128079409022,-0.03578157206800561,180.09353449810894,-0.2126233627216173
8471418.0,Anton Khudobin,7234,448,448.8819647882855,-0.03528923911134345,386.7550915732928,-0.20974266969206942
8473575.0,Semyon Varlamov,12167,748,745.068936626121,-0.03481806709961833,642.7799025510819,-0.20698462905174644
8470147.0,Curtis McElhinney,4333,274,281.0853690257217,-0.03395837570261684,238.38245433854442,-0.20194942981802758
8475831.0,Philipp Grubauer,11697,748,750.5597135325172,-0.033947999685582146,641.9492663087495,-0.2018886345093611
8481611.0,Pyotr Kochetkov,1086,78,83.07131507697892,-0.0336424192101151,69.9405936946545,-0.20009792546269722
8478492.0,Ilya Samsonov,5605,369,373.567362680358,-0.03206080582730973,320.78596822417535,-0.19082197693568725
8476904.0,Chris Driedger,2455,155,160.2406015365888,-0.030046063475906822,136.73034675446326,-0.17898718372552636
8480313.0,Logan Thompson,2307,145,147.31184321576936,-0.02718263912276923,128.90378160507504,-0.16213123184428413
8474651.0,Braden Holtby,13250,841,841.2732578940082,-0.026971299992355053,722.8624168935795,-0.1608854811743679
8481033.0,Akira Schmid,1069,69,73.09392221467108,-0.02577955471644334,63.15481738882612,-0.15385636045391476
8475789.0,Jack Campbell,7163,466,466.4272149910121,-0.025461258405047905,404.24255759347693,-0.15197775420958126
8477968.0,Alex Nedeljkovic,4501,302,302.8874208968541,-0.024785249640450594,261.20179898998737,-0.14798617096192374
8471734.0,Jonathan Quick,11552,776,768.8670483164522,-0.02429835048161284,663.3876960763746,-0.14510974915118435
8475660.0,Cam Talbot,14256,919,914.1375045540404,-0.023760800248116838,781.4751861103704,-0.14193267755853445
8476316.0,Laurent Brossoit,4428,295,298.69184022878113,-0.022535611935719357,255.46747316024508,-0.13468589438225403
8476412.0,Jordan Binnington,10584,707,697.3125451181706,-0.02249477726946323,607.1722542014568,-0.13444423057940164
8470860.0,Jaroslav Halak,8977,573,567.5705215814114,-0.02084771381866783,489.7384333482902,-0.12468954775001484
8476932.0,Anthony Stolarz,2992,198,200.7352369709826,-0.020651323183215536,173.23711771749413,-0.12352549347316583
8479292.0,Charlie Lindgren,2389,162,163.74104472296816,-0.018391335294302084,140.8743495295953,-0.11011562615854953
8477970.0,Vitek Vanecek,5207,344,338.1308755246896,-0.018223853908533035,297.09052590863206,-0.10912080468591934
8479312.0,Alex Lyon,1625,115,114.888306507921,-0.016986107504655585,100.57984644712417,-0.10176421185634776
8478406.0,Mackenzie Blackwood,6177,422,413.8071718901531,-0.015012568837997623,357.3280057115792,-0.09001795588898936
8480843.0,Lukas Dostal,1124,77,77.55663856752967,-0.012446167304396006,67.92841714378542,-0.0747127617066537
8477465.0,Tristan Jarry,8328,541,527.1356724897157,-0.011565278074164105,464.47825290470865,-0.06945151574877795
8478872.0,Karel Vejmelka,4625,338,329.7482093884143,-0.011479542555699569,289.7633742651193,-0.06893923128344637
8473503.0,James Reimer,10647,712,697.2678184147651,-0.010981230683358167,610.4413895184465,-0.0659609735513253
8481519.0,Spencer Knight,2198,154,150.196214741928,-0.009686066995743496,132.7676549966497,-0.05821411867699411
8466141.0,Roberto Luongo,4771,306,301.5778729415639,-0.009651547345284946,260.4924790292439,-0.058007524080845585
8481544.0,Mads Sogaard,794,64,62.970145746428805,-0.008751604965428976,54.02827640952,-0.052619317421502554
8478024.0,Ville Husso,4938,340,330.692914557029,-0.00838747142769453,292.26859997030573,-0.05043794620600839
8477831.0,Pheonix Copley,2564,179,175.96201342656235,-0.008295927711954181,153.72469320326488,-0.04988943726113304
8475809.0,Scott Wedgewood,4004,274,267.9918425285409,-0.006989999386630994,232.56720940486318,-0.04205984525799539
8477361.0,Calvin Petersen,4145,288,278.7083130627038,-0.006555295054454686,247.45469299347292,-0.03945163096552018
8471469.0,Pekka Rinne,10843,668,653.0582714134445,-0.005911808679676365,570.9168904642863,-0.03558891513649465
8471679.0,Carey Price,12147,772,747.0349031525577,-0.003488416439676303,660.0707004204304,-0.02102233340645354
8477480.0,Eric Comrie,1890,145,139.81012989470133,-0.0025151423500207465,121.61725051187831,-0.01516349138431794
8478470.0,Sam Montembeault,4285,324,313.4465094395607,-0.0022104800624106555,272.9698424145518,-0.013328487035571546
8480045.0,Ukko-Pekka Luukkonen,2018,152,143.7883080210815,0.0008024787949304227,129.28503733722798,0.004845042933243615
8476433.0,Magnus Hellberg,715,55,52.5408083603759,0.002906896913432831,46.0854220553159,0.017566762833191862
8475156.0,Mikko Koskinen,6854,472,458.198752830911,0.0035154170453126216,402.2897291091603,0.021249761930110245
8471301.0,Jeff Glass,625,45,42.60664045678136,0.005185737395028409,37.26943993862602,0.031369219351146116
8480193.0,Daniil Tarasov,885,64,60.95534746881552,0.005499198346639422,53.81616204967318,0.03326992912231902
8475852.0,Petr Mrazek,10063,713,680.1092220896313,0.006211457137453034,599.5324730795019,0.03759072772232391
8478433.0,Felix Sandstrom,1067,85,79.60458585707204,0.00888000360920283,70.29180450661121,0.053802849610105896
8474667.0,Harri Sateri,607,45,41.35489410685666,0.009492543569636688,36.66017539433565,0.0575295052238356
8478435.0,Dan Vladar,2057,148,137.3145322259983,0.009532294126476343,125.05532693836203,0.057771413793047954
8468011.0,Ryan Miller,5705,372,357.2043447056825,0.011263584798337613,314.7158480616236,0.06831558741121901
8478902.0,Erik Kallgren,919,68,62.42739883370687,0.013653223871855708,55.95546633264404,0.08289543696502477
8481031.0,Ivan Prosvetov,548,50,43.99647998080455,0.014643596774806379,39.032984268051884,0.08894685973733357
8478007.0,Elvis Merzlikins,6289,432,408.73176876633033,0.014754921494222903,363.63767267468734,0.08962740699202526
8476899.0,Matt Murray,11526,761,721.5613252968027,0.015610207565213629,646.359114603077,0.09485811547347706
8475195.0,Anders Nilsson,4710,304,286.44773284423127,0.016083123560424278,257.3560065029562,0.09775201714518761
8473541.0,Jonathan Bernier,7903,519,495.4940156775764,0.016111302551896627,438.31307908735334,0.09792448961012806
8482076.0,Nico Daws,883,66,58.78950406445066,0.016365840837439336,52.24015544955217,0.09948260920378538
8474596.0,Jake Allen,12113,820,777.6953956431925,0.01817828219676841,693.561849374448,0.11058717761523451
8470140.0,Kari Lehtonen,3532,233,217.9584361920423,0.0181996662592018,193.22797898933808,0.11071829910181269
