model,n,log_loss,brier,auc
base xG (walk-forward),659131,0.21352643407773708,0.05728397782880873,0.7668872867943947
+ shooter EB,659131,0.21329156315230294,0.057259597691122696,0.7678016966694854
+ shooter & goalie EB,659131,0.21325955587404727,0.05724896543027411,0.7678859434110853
MoneyPuck xGoal (benchmark),659131,0.20339047420667133,0.05434977726831875,0.792415618409462
