predictor,n,pearson_r,spearman_r,r2,rmse
prior goals (G_N),2080,0.6896848298058589,0.6971996509523033,0.4756651644643367,6.955894940857446
base xG,2080,0.6921829615490341,0.7130311831807516,0.47911725225879165,6.932959202221225
MoneyPuck xG,2080,0.680109179925925,0.7032991807638226,0.462548496619514,7.0423612456324856
shooter-adjusted xG,2080,0.7064311816557347,0.7237865883708259,0.4990450144155174,6.799046469460339
